Mtech_Project,Server,Date,Utilization,Parameter,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T10:30:00,0.075555,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T12:30:00,0.244999167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T14:30:00,27.6413887,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T00:30:00,76.6977787,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T02:30:00,76.7263883,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T10:30:00,75.1091671,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T19:30:00,75.10611216,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T20:30:00,75.33722115,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T21:30:00,75.09749921,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T22:30:00,33.08166644,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-26T09:30:00,75.09277725,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-27T01:30:00,0.086665,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-24T11:30:00,0.373890825,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-24T20:30:00,75.20333227,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-24T21:30:00,31.18444331,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T00:30:00,0.248610839,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T02:30:00,1.090000045,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-25T03:30:00,1.43055664,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-23T06:30:00,0.079166667,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-23T08:30:00,0.0875,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-23T13:30:00,0.55527749,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-23T20:30:00,0.088055832,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-23T19:30:00,0.086944999,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-20T23:30:00,20.88944412,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-20T22:30:00,25.09250005,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-20T11:30:00,75.12194316,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-20T10:30:00,26.43111064,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-20T08:30:00,0.277500829,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T22:30:00,0.243888332,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T08:30:00,0.092499167,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T20:30:00,0.081945001,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T15:30:00,0.083610001,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T12:30:00,0.097222499,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T11:30:00,0.08861,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T03:30:00,1.524165877,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-30T02:30:00,1.3258325,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T22:30:00,50.15694412,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T19:30:00,78.02694448,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T17:30:00,77.51749929,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T11:30:00,0.092223333,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T09:30:00,0.0852775,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-04-29T08:30:00,0.093055834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-25T02:30:00,0.112777499,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-25T00:30:00,0.228055835,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T23:30:00,0.340834174,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T14:30:00,0.078611666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T07:30:00,0.091667501,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-24T05:30:00,1.497778306,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T13:30:00,0.327499997,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-23T02:30:00,0.108611666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T10:30:00,0.250304549,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T08:30:00,0.090279165,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T23:30:00,0.343054997,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T07:30:00,0.152500834,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T21:30:00,0.088331666,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T20:30:00,0.098332499,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T18:30:00,1.61277747,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T17:30:00,0.101944166,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-22T15:30:00,0.747777492,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-28T01:30:00,0.241111665,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T23:30:00,0.341662507,CPU,,,,,
Performance Analysis,Prjct-ANALYTICS-01,2023-02-27T19:30:00,77.4502786,CPU,,,,,
